Annee,Passagers_(en_milliers),Mouvements_(en_milliers),Aeroport,LATITUDE,LONGITUDE,Superficie_(km^2),Nb_Compagnie,Nb_Destinations
1986,1670,19,Bordeaux,44.8283,-0.7156,0.5,20,49
1987,1840,23,Bordeaux,44.8283,-0.7156,0.5,20,49
1988,2023,28,Bordeaux,44.8283,-0.7156,0.5,20,49
1989,2342,32,Bordeaux,44.8283,-0.7156,0.5,20,49
1990,2441,34,Bordeaux,44.8283,-0.7156,0.5,20,49
1991,2111,32,Bordeaux,44.8283,-0.7156,0.5,20,49
1992,2205,31,Bordeaux,44.8283,-0.7156,0.5,20,49
1993,2229,30,Bordeaux,44.8283,-0.7156,0.5,20,49
1994,2297,30,Bordeaux,44.8283,-0.7156,0.5,20,49
1995,2439,33,Bordeaux,44.8283,-0.7156,0.5,20,49
1996,2595,40,Bordeaux,44.8283,-0.7156,0.5,20,49
1997,2533,44,Bordeaux,44.8283,-0.7156,0.5,20,49
1998,2731,48,Bordeaux,44.8283,-0.7156,0.5,20,49
1999,2874,49,Bordeaux,44.8283,-0.7156,0.5,20,49
2000,3008,50,Bordeaux,44.8283,-0.7156,0.5,20,49
2001,3039,53,Bordeaux,44.8283,-0.7156,0.5,20,49
2002,2905,51,Bordeaux,44.8283,-0.7156,0.5,20,49
2003,2802,46,Bordeaux,44.8283,-0.7156,0.5,20,49
2004,2897,46,Bordeaux,44.8283,-0.7156,0.5,20,49
2005,3062,49,Bordeaux,44.8283,-0.7156,0.5,20,49
2006,3226,51,Bordeaux,44.8283,-0.7156,0.5,20,49
2007,3408,51,Bordeaux,44.8283,-0.7156,0.5,20,49
2008,3502,53,Bordeaux,44.8283,-0.7156,0.5,20,49
2009,3284,46,Bordeaux,44.8283,-0.7156,0.5,20,49
2010,3603,47,Bordeaux,44.8283,-0.7156,0.5,20,49
2011,4061,51,Bordeaux,44.8283,-0.7156,0.5,20,49
1986,2718,50,Lyon,45.7256,5.0811,20.0,39,77
1987,2842,56,Lyon,45.7256,5.0811,20.0,39,77
1988,3131,64,Lyon,45.7256,5.0811,20.0,39,77
1989,3630,68,Lyon,45.7256,5.0811,20.0,39,77
1990,3734,66,Lyon,45.7256,5.0811,20.0,39,77
1991,3472,64,Lyon,45.7256,5.0811,20.0,39,77
1992,3794,67,Lyon,45.7256,5.0811,20.0,39,77
1993,3909,66,Lyon,45.7256,5.0811,20.0,39,77
1994,4107,71,Lyon,45.7256,5.0811,20.0,39,77
1995,4290,76,Lyon,45.7256,5.0811,20.0,39,77
1996,4813,85,Lyon,45.7256,5.0811,20.0,39,77
1997,4819,94,Lyon,45.7256,5.0811,20.0,39,77
1998,5095,103,Lyon,45.7256,5.0811,20.0,39,77
1999,5416,117,Lyon,45.7256,5.0811,20.0,39,77
2000,5933,124,Lyon,45.7256,5.0811,20.0,39,77
2001,6059,127,Lyon,45.7256,5.0811,20.0,39,77
2002,5725,115,Lyon,45.7256,5.0811,20.0,39,77
2003,5858,114,Lyon,45.7256,5.0811,20.0,39,77
2004,6125,119,Lyon,45.7256,5.0811,20.0,39,77
2005,6463,123,Lyon,45.7256,5.0811,20.0,39,77
2006,6661,124,Lyon,45.7256,5.0811,20.0,39,77
2007,7193,127,Lyon,45.7256,5.0811,20.0,39,77
2008,7797,127,Lyon,45.7256,5.0811,20.0,39,77
2009,7573,120,Lyon,45.7256,5.0811,20.0,39,77
2010,7793,117,Lyon,45.7256,5.0811,20.0,39,77
2011,9813,119,Lyon,45.7256,5.0811,20.0,39,77
